,ID,Location,County,State,Frequency,Phone,Type,Lat,Lon
0,KABI,Abilene,Taylor,TX,ATIS - 118.25,(325) 201-9467,ASOS,32.41063,-99.68209
1,KALI,Alice,Jim Wells,TX,119.225,(361) 668-0069,ASOS,27.74089,-98.02694
2,KAMA,Amarillo - Rick Husband,Potter,TX,ATIS - 118.85,(806) 335-1060,ASOS,35.21936,-101.70592
3,KLBX,Angleton - Texas Gulf Coast,Brazoria,TX,119.925,(979) 849-3319,ASOS,29.10864,-95.46208
4,KGKY,Arlington,Tarrant,TX,127.375,(817) 557-0251,ASOS,32.66386,-97.09428
5,KATT,Austin,Travis,TX,,(512) 453-6572,ASOS,30.32075,-97.76012
6,KAUS,Austin-Bergstrom International,Travis,TX,ATIS - 124.4,(512) 369-7881,ASOS,30.19453,-97.66989
7,KBPT,Beaumont - Jack Brooks,Jefferson,TX,ATIS - 126.3,(409) 722-9396,ASOS,29.95206,-94.02614
8,KBGD,Borger,Hutchinson,TX,118.325,(806) 274-7318,ASOS,35.70089,-101.39366
9,KBRO,Brownsville-South San Padre Island,Cameron,TX,ATIS - 128.55,(956) 546-4540,ASOS,25.91461,-97.42313
10,KBMQ,Burnet - Kate Craddock,Burnet,TX,119.925,(512) 756-7277,ASOS,30.73893,-98.23861
11,KCDS,Childress,Childress,TX,135.125,(940) 937-6337,ASOS,34.43389,-100.28806
12,KCLL,College Station - Easterwood,Brazos,TX,ATIS - 126.85,(979) 846-1708,ASOS,30.58806,-96.36389
13,KCXO,Conroe - North Houston,Montgomery,TX,118.325,(936) 760-4237,ASOS,30.35236,-95.41453
14,KCRP,Corpus Christi,Nueces,TX,ATIS - 126.8,(361) 289-0191,ASOS,27.77306,-97.51278
15,KCRS,Corsicana - C. David Campbell,Navarro,TX,120.675,(903) 872-9321,ASOS,32.03,-96.4
16,KCOT,Cotulla,La Salle,TX,118.32,(830) 879-2861,ASOS,28.45667,-99.21833
17,KDHT,Dalhart,Dallam,TX,134.075,(806) 249-5671,ASOS,36.02259,-102.54728
18,KDAL,Dallas - Love,Dallas,TX,ATIS - 120.15,(214) 353-1551,ASOS,32.84711,-96.85178
19,KTKI,Dallas - McKinney,Collin,TX,119.925,(972) 548-8525,ASOS,33.18,-96.59
20,KRBD,Dallas Executive,Dallas,TX,ATIS - 126.35,(214) 330-5317,ASOS,32.68,-96.87
21,KDFW,Dallas/Fort Worth International,Dallas,TX,ATIS - 123.775,(972) 615-2608,ASOS,32.89683,-97.038
22,KDRT,Del Rio,Val Verde,TX,118.525,(830) 703-8560,ASOS,29.37421,-100.92716
23,KDTO,Denton Enterprise,Denton,TX,119.325,(940) 383-8457,ASOS,33.205,-97.2006
24,KELP,El Paso,El Paso,TX,ATIS - 120.0,(915) 774-9497,ASOS,31.81111,-106.37583
25,KFST,Fort Stockton,Pecos,TX,118.525,(432) 336-7591,ASOS,30.91194,-102.91667
26,KAFW,Fort Worth Alliance,Tarrant,TX,ATIS - 126.925,(817) 491-6188,ASOS,32.9716,-97.31788
27,KFTW,Fort Worth Meacham International,Tarrant,TX,ATIS - 120.7,(817) 740-3346,ASOS,32.81978,-97.36244
28,KGLS,Galveston - Scholes,Galveston,TX,123.95,(409) 740-5483,ASOS,29.26533,-94.86042
29,KHRL,Harlingen - Valley,Cameron,TX,ATIS - 124.85,(956) 428-7297,ASOS,26.2285,-97.65439
30,KHDO,Hondo - South Texas,Medina,TX,119.675,(830) 426-3060,ASOS,29.35944,-99.17417
31,KDWH,Houston - David Wayne Hooks,Harris,TX,ATIS - 128.375,(281) 251-7853,ASOS,30.06803,-95.55624
32,KIAH,Houston - George Bush,Harris,TX,ATIS - 124.05,(281) 443-6397,ASOS,29.98443,-95.34144
33,KLVJ,Houston - Pearland,Brazoria,TX,118.525,(281) 992-1853,ASOS,29.5189,-95.2417
34,KSGR,Houston - Sugar Land,Fort Bend,TX,118.125,(281) 242-7605,ASOS,29.62225,-95.65653
35,KHOU,Houston - William P. Hobby,Harris,TX,ATIS - 124.6,(713) 847-1462,ASOS,29.63747,-95.28245
36,KUTS,Huntsville,Walker,TX,119.425,(936) 291-7997,ASOS,30.74689,-95.58717
37,KJCT,Junction,Kimble,TX,119.275,(325) 446-2552,ASOS,30.51083,-99.76639
38,KGGG,Longview - East Texas,Gregg,TX,ATIS - 119.65,(903) 643-4029,ASOS,32.38401,-94.71149
39,KLBB,Lubbock - Preston Smith,Lubbock,TX,125.3,(806) 766-6432,ASOS,33.66364,-101.82278
40,KLFK,Lufkin,Angelina,TX,120.625,(936) 637-9420,ASOS,31.23401,-94.75
41,KMFE,Mc Allen - Miller,Hidalgo,TX,ATIS - 128.5,(956) 664-8212,ASOS,26.17583,-98.23861
42,KMAF,Midland International,Midland,TX,ATIS - 126.8,(432) 561-5935,ASOS,31.94662,-102.20745
43,KMWL,Mineral Wells,Palo Pinto,TX,135.075,(940) 325-2457,ASOS,32.78161,-98.06018
44,KBAZ,New Braunfels,Comal,TX,119.325,(830) 629-7979,ASOS,29.709,-98.045
45,KODO,Odessa - Schlemeyer,Ector,TX,119.275,(432) 363-9719,ASOS,31.92056,-102.38667
46,KPSX,Palacios,Matagorda,TX,118.025,(361) 972-0101,ASOS,28.73,-96.25
47,KPIL,Port Isabel,Cameron,TX,118.525,(956) 233-1954,ASOS,26.1597,-97.33781
48,KRKP,Rockport,Aransas,TX,119.275,(361) 729-2372,ASOS,28.08361,-97.04639
49,KSJT,San Angelo - Mathis,Tom Green,TX,ATIS - 128.45,(325) 949-6686,ASOS,31.35167,-100.495
50,KSSF,San Antonio - Stinson,Bexar,TX,ATIS - 128.8,(210) 927-9391,ASOS,29.33698,-98.47105
51,KSAT,San Antonio International,Bexar,TX,ATIS - 118.9,(210) 805-5583,ASOS,29.53369,-98.46978
52,KTRL,Terrell,Kaufman,TX,119.275,(972) 551-1334,ASOS,32.71,-96.27
